tx_id,time,object,state,target,action,status,capture_timestamp
Transaction List,,N/A,N/A,,,,2026-06-13 00:03:13
Filter TransactionClear Filter,Filter Transaction,N/A,N/A,,,Filter Transaction,2026-06-13 00:03:13
Filter Transaction,,N/A,N/A,,Filter Transaction,,2026-06-13 00:03:13
Transaction Id,Time,Object,State,Target System,Action,Status,2026-06-13 00:03:13
1781249379893-695-1342620982,2026-06-12 09:29 CEST,N/A,N/A,GLOPPS,Data Publish,Success,2026-06-13 00:03:13
1781248832808-689-1464075343,2026-06-12 09:20 CEST,N/A,N/A,SPIS,Event Handling,Success,2026-06-13 00:03:13
1781246715110-685-1342620982,2026-06-12 08:46 CEST,N/A,N/A,GLOPPS,Data Publish,Success,2026-06-13 00:03:13
1781248832396-688-1343014908,2026-06-12 09:20 CEST,N/A,N/A,FACTORYMASTER,Generate Report,Success,2026-06-13 00:03:13
1781254592288-5-7330250,2026-06-12 10:56 CEST,N/A,N/A,GLOPPS,Data Publish,Success,2026-06-13 00:03:13
1781254592193-4-385865976,2026-06-12 10:56 CEST,N/A,N/A,FACTORYMASTER,Generate Report,Success,2026-06-13 00:03:13
1781248837288-694-1930633891,2026-06-12 09:20 CEST,N/A,N/A,Change Report,Generate Report,Success,2026-06-13 00:03:13
1781271877589-732-1082244522,2026-06-12 15:44 CEST,N/A,N/A,FADS,Event Handling,Success,2026-06-13 00:03:13
1781245993825-682-1343014908,2026-06-12 08:33 CEST,N/A,N/A,FACTORYMASTER,Generate Report,Success,2026-06-13 00:03:13
1781255116002-8-2105695092,2026-06-12 11:05 CEST,N/A,N/A,GLOPPS,Data Publish,Success,2026-06-13 00:03:13
1781262161314-714-1343014908,2026-06-12 13:02 CEST,N/A,N/A,FACTORYMASTER,Generate Report,Success,2026-06-13 00:03:13
1781262488802-720-1464075343,2026-06-12 13:08 CEST,N/A,N/A,SPIS,Event Handling,Success,2026-06-13 00:03:13
1781245993932-684-1930633891,2026-06-12 08:33 CEST,N/A,N/A,Change Report,Generate Report,Success,2026-06-13 00:03:13
1781254592374-6-1707102878,2026-06-12 10:56 CEST,N/A,N/A,SPIS,Event Handling,Success,2026-06-13 00:03:13
1781259700089-621-1677493415,2026-06-12 12:21 CEST,N/A,N/A,ESW-SyncDocument,"Event Handling, Data Collection",Success,2026-06-13 00:03:13
1781259603951-606-1677493415,2026-06-12 12:20 CEST,N/A,N/A,ESW-SyncDocument,"Event Handling, Data Collection",Success,2026-06-13 00:03:13
1781262487967-719-1343014908,2026-06-12 13:08 CEST,N/A,N/A,FACTORYMASTER,Generate Report,Success,2026-06-13 00:03:13
1781251570045-706-1930633891,2026-06-12 10:06 CEST,N/A,N/A,Change Report,Generate Report,Success,2026-06-13 00:03:13
1781245993932-683-1464075343,2026-06-12 08:33 CEST,N/A,N/A,SPIS,Event Handling,Success,2026-06-13 00:03:13
1781254592186-3-1216190436,2026-06-12 10:56 CEST,N/A,N/A,FADS,Event Handling,Success,2026-06-13 00:03:13
1781271878142-734-1464075343,2026-06-12 15:44 CEST,N/A,N/A,SPIS,Event Handling,Success,2026-06-13 00:03:13
1781251192071-705-1930633891,2026-06-12 09:59 CEST,N/A,N/A,Change Report,Generate Report,Success,2026-06-13 00:03:13
1781259603950-605-1677493415,2026-06-12 12:20 CEST,N/A,N/A,ESW-SyncDCN,"Event Handling, Data Collection",Success,2026-06-13 00:03:13
1781251673633-708-1930633891,2026-06-12 10:07 CEST,N/A,N/A,Change Report,Generate Report,Success,2026-06-13 00:03:13
1781267019334-728-1342620982,2026-06-12 14:23 CEST,N/A,N/A,GLOPPS,Data Publish,Success,2026-06-13 00:03:13
1781264518326-723-1930633891,2026-06-12 13:42 CEST,N/A,N/A,Change Report,Generate Report,Success,2026-06-13 00:03:13
Search HistoryTodayNo searches executed todayOlderDCN_25Aug2023-30Sep2027Keyword=Faraday; Type=All Types; Context=All ContextsType=VolvoPart; Classification For Reuse=Hydraulic Cylinder; Cont...Keyword=12810330; Type=VolvoPart; Classification For Reuse=Hydrau...Keyword=12810330; Type=All Types; Context=All ContextsKeyword=55813788; Type=All Types; Context=All ContextsKeyword=53686583; Type=All Types; Context=All ContextsKeyword=11102224; Type=All Types; Context=All ContextsKeyword=126496wc; Type=All Types; Context=All ContextsKeyword=127440WC; Type=All Types; Context=All ContextsKeyword=128261WC; Type=All Types; Context=All ContextsKeyword=53633518; Type=All Types; Context=All ContextsKeyword=126507WC; Type=All Types; Context=All ContextsKeyword=54862221; Type=All Types; Context=All ContextsKeyword=26069005; Type=All Types; Context=All Contexts,DCN_25Aug2023-30Sep2027,N/A,Keyword=Faraday; Type=All Types; Context=All Contexts,,Type=VolvoPart; Classification For Reuse=Hydraulic Cylinder; Cont...,,2026-06-13 00:03:13
Transaction List,,N/A,N/A,,,,2026-06-13 00:04:25
Filter TransactionClear Filter,Filter Transaction,N/A,N/A,,,Filter Transaction,2026-06-13 00:04:25
Filter Transaction,,N/A,N/A,,Filter Transaction,,2026-06-13 00:04:25
Transaction Id,Time,Object,State,Target System,Action,Status,2026-06-13 00:04:25
1781249379893-695-1342620982,2026-06-12 09:29 CEST,N/A,N/A,GLOPPS,Data Publish,Success,2026-06-13 00:04:25
1781248832808-689-1464075343,2026-06-12 09:20 CEST,N/A,N/A,SPIS,Event Handling,Success,2026-06-13 00:04:25
1781246715110-685-1342620982,2026-06-12 08:46 CEST,N/A,N/A,GLOPPS,Data Publish,Success,2026-06-13 00:04:25
1781248832396-688-1343014908,2026-06-12 09:20 CEST,N/A,N/A,FACTORYMASTER,Generate Report,Success,2026-06-13 00:04:25
