pos,queue,job,status,number,name,version,context,user,capture_timestamp
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 1:55
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 1:59
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 2:02
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 2:03
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 2:43
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 2:47
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 3:08
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 3:15
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 3:16
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 15:35
1,MOFFICEQUEUE,"324,676,656",READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,,MWL_Tech_Department_Documents,Robbie Anderson,12-06-26 15:35
,LCREOQUEUE,"329,726,769",READY,55546269.ASM,Kordinatsystem,01.2,Braas,,12-06-26 20:51
,LCREOQUEUE,"329,725,668",READY,53488594_TIM.PRT,BOX;TMS,01.10,WLO-Loader,,12-06-26 20:51
