tx_id,time,target,action,status,object,state,attempts,notes,collected_at
1781249379893-695-1342620982,2026-06-12 09:29 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781248832808-689-1464075343,2026-06-12 09:20 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781246715110-685-1342620982,2026-06-12 08:46 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781248832396-688-1343014908,2026-06-12 09:20 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781254592288-5-7330250,2026-06-12 10:56 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781254592193-4-385865976,2026-06-12 10:56 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781248837288-694-1930633891,2026-06-12 09:20 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781271877589-732-1082244522,2026-06-12 15:44 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781245993825-682-1343014908,2026-06-12 08:33 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781255116002-8-2105695092,2026-06-12 11:05 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781262161314-714-1343014908,2026-06-12 13:02 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781262488802-720-1464075343,2026-06-12 13:08 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781245993932-684-1930633891,2026-06-12 08:33 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781254592374-6-1707102878,2026-06-12 10:56 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781259700089-621-1677493415,2026-06-12 12:21 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781259603951-606-1677493415,2026-06-12 12:20 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781262487967-719-1343014908,2026-06-12 13:08 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781251570045-706-1930633891,2026-06-12 10:06 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781245993932-683-1464075343,2026-06-12 08:33 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781254592186-3-1216190436,2026-06-12 10:56 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781271878142-734-1464075343,2026-06-12 15:44 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781251192071-705-1930633891,2026-06-12 09:59 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781259603950-605-1677493415,2026-06-12 12:20 CEST,ESW-SyncDCN,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781251673633-708-1930633891,2026-06-12 10:07 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781267019334-728-1342620982,2026-06-12 14:23 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781264518326-723-1930633891,2026-06-12 13:42 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:05:10
1781249379893-695-1342620982,2026-06-12 09:29 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781248832808-689-1464075343,2026-06-12 09:20 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781246715110-685-1342620982,2026-06-12 08:46 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781248832396-688-1343014908,2026-06-12 09:20 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781254592288-5-7330250,2026-06-12 10:56 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781254592193-4-385865976,2026-06-12 10:56 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781248837288-694-1930633891,2026-06-12 09:20 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781271877589-732-1082244522,2026-06-12 15:44 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781245993825-682-1343014908,2026-06-12 08:33 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781255116002-8-2105695092,2026-06-12 11:05 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781262161314-714-1343014908,2026-06-12 13:02 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781262488802-720-1464075343,2026-06-12 13:08 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781245993932-684-1930633891,2026-06-12 08:33 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781254592374-6-1707102878,2026-06-12 10:56 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781259700089-621-1677493415,2026-06-12 12:21 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781259603951-606-1677493415,2026-06-12 12:20 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781262487967-719-1343014908,2026-06-12 13:08 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781251570045-706-1930633891,2026-06-12 10:06 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781245993932-683-1464075343,2026-06-12 08:33 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781254592186-3-1216190436,2026-06-12 10:56 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781271878142-734-1464075343,2026-06-12 15:44 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781251192071-705-1930633891,2026-06-12 09:59 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781259603950-605-1677493415,2026-06-12 12:20 CEST,ESW-SyncDCN,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781251673633-708-1930633891,2026-06-12 10:07 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781267019334-728-1342620982,2026-06-12 14:23 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781264518326-723-1930633891,2026-06-12 13:42 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:06:26
1781249379893-695-1342620982,2026-06-12 09:29 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781248832808-689-1464075343,2026-06-12 09:20 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781246715110-685-1342620982,2026-06-12 08:46 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781248832396-688-1343014908,2026-06-12 09:20 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781254592288-5-7330250,2026-06-12 10:56 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781254592193-4-385865976,2026-06-12 10:56 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781248837288-694-1930633891,2026-06-12 09:20 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781271877589-732-1082244522,2026-06-12 15:44 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781245993825-682-1343014908,2026-06-12 08:33 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781255116002-8-2105695092,2026-06-12 11:05 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781262161314-714-1343014908,2026-06-12 13:02 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781262488802-720-1464075343,2026-06-12 13:08 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781245993932-684-1930633891,2026-06-12 08:33 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781254592374-6-1707102878,2026-06-12 10:56 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781259700089-621-1677493415,2026-06-12 12:21 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781259603951-606-1677493415,2026-06-12 12:20 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781262487967-719-1343014908,2026-06-12 13:08 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781251570045-706-1930633891,2026-06-12 10:06 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781245993932-683-1464075343,2026-06-12 08:33 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781254592186-3-1216190436,2026-06-12 10:56 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781271878142-734-1464075343,2026-06-12 15:44 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781251192071-705-1930633891,2026-06-12 09:59 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781259603950-605-1677493415,2026-06-12 12:20 CEST,ESW-SyncDCN,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781251673633-708-1930633891,2026-06-12 10:07 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781267019334-728-1342620982,2026-06-12 14:23 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781264518326-723-1930633891,2026-06-12 13:42 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:23
1781249379893-695-1342620982,2026-06-12 09:29 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781248832808-689-1464075343,2026-06-12 09:20 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781246715110-685-1342620982,2026-06-12 08:46 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781248832396-688-1343014908,2026-06-12 09:20 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781254592288-5-7330250,2026-06-12 10:56 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781254592193-4-385865976,2026-06-12 10:56 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781248837288-694-1930633891,2026-06-12 09:20 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781271877589-732-1082244522,2026-06-12 15:44 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781245993825-682-1343014908,2026-06-12 08:33 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781255116002-8-2105695092,2026-06-12 11:05 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781262161314-714-1343014908,2026-06-12 13:02 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781262488802-720-1464075343,2026-06-12 13:08 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781245993932-684-1930633891,2026-06-12 08:33 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781254592374-6-1707102878,2026-06-12 10:56 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781259700089-621-1677493415,2026-06-12 12:21 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781259603951-606-1677493415,2026-06-12 12:20 CEST,ESW-SyncDocument,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781262487967-719-1343014908,2026-06-12 13:08 CEST,FACTORYMASTER,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781251570045-706-1930633891,2026-06-12 10:06 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781245993932-683-1464075343,2026-06-12 08:33 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781254592186-3-1216190436,2026-06-12 10:56 CEST,FADS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781271878142-734-1464075343,2026-06-12 15:44 CEST,SPIS,Event Handling,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781251192071-705-1930633891,2026-06-12 09:59 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781259603950-605-1677493415,2026-06-12 12:20 CEST,ESW-SyncDCN,"Event Handling, Data Collection",Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781251673633-708-1930633891,2026-06-12 10:07 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781267019334-728-1342620982,2026-06-12 14:23 CEST,GLOPPS,Data Publish,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1781264518326-723-1930633891,2026-06-12 13:42 CEST,Change Report,Generate Report,Success,N/A,N/A,N/A,N/A,2026-06-13 02:14:45
1777979987809-9-1863041603,2026-05-05 13:19 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1780880401097-4-75875296,2026-06-09 04:32 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1776319918890-3-1262549859,2026-05-02 16:06 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1778720401074-982-131326132,2026-05-15 08:06 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1778029201028-414-448470411,2026-05-07 06:11 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1777548929397-14-884918076,2026-05-01 17:10 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1778059459042-17-2014039600,2026-05-06 11:24 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1776261780585-9-2011857616,2026-05-01 19:38 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1780906330567-175-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1776318346482-8-616685759,2026-05-02 16:06 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1776235464684-4-930476711,2026-05-01 12:19 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1776693201114-31-725727101,2026-05-01 19:28 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1776090964266-3-2079442332,2026-05-06 23:46 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1778806801133-1022-131326132,2026-05-16 14:47 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1777942801044-144-448470411,2026-05-06 06:11 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1780621201080-868-1087310219,2026-06-06 04:34 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1776261904279-10-899677857,2026-05-01 19:40 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1779325201075-697-1072662030,2026-05-22 03:59 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1780016401327-673-747697043,2026-05-30 03:53 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1780362001056-107-1087310219,2026-06-03 04:31 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1777597201036-578-60534480,2026-05-02 06:08 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1777510801057-386-60534480,2026-05-01 06:02 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1778461201055-4-131326132,2026-05-12 06:03 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1780297201418-6-1726329946,2026-06-01 09:00 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1780486699317-14-2008929427,2026-06-03 13:38 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1778547601037-590-131326132,2026-05-13 05:59 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:16:38
1777979987809-9-1863041603,2026-05-05 13:19 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1780880401097-4-75875296,2026-06-09 04:32 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1776319918890-3-1262549859,2026-05-02 16:06 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1778720401074-982-131326132,2026-05-15 08:06 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1778029201028-414-448470411,2026-05-07 06:11 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1777548929397-14-884918076,2026-05-01 17:10 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1778059459042-17-2014039600,2026-05-06 11:24 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1776261780585-9-2011857616,2026-05-01 19:38 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1780906330567-175-1677493415,2026-06-08 10:12 CEST,ESW-SyncPart,"Event Handling, Data Collection",Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1776318346482-8-616685759,2026-05-02 16:06 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1776235464684-4-930476711,2026-05-01 12:19 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1776693201114-31-725727101,2026-05-01 19:28 CEST,RAPID,Data Collection,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1776090964266-3-2079442332,2026-05-06 23:46 CEST,RAPID,Data Publish,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
1778806801133-1022-131326132,2026-05-16 14:47 CEST,POTS,Generate Export,Failed,N/A,N/A,N/A,N/A,2026-06-13 02:17:11
