position,queue,job,job_status,number,name,version,context,user,post_job
,4,LCREOQUEUE,,READY,53905842.DRW,DECAL;BATTERY EXPLOSION HAZARD,01.2,CMP-Asphalt,Pagnotta Fran
,1,MOFFICEQUEUE,,READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,01.3,MWL_Tech_Department_Documents,Robbie Anderson
,,LCREOQUEUE6,,EXECUTING,53909264.ASM,FRONT FRAME,01.5,ART-Hauler-Medium,Karl Hällebrand
,,LCREOQUEUE5,,EXECUTING,53909264.DRW,53909264,01.3,ART-Hauler-Medium,Karl Hällebrand
,,LCREOQUEUE4,,EXECUTING,53261498_TIM.PRT,COVER;LH,01.8,WLO-Loader,"cadadmin, cadadmin"
,,HCREOQUEUE3,,EXECUTING,53477317.DRW,SPRING PIN,01.4,Rigid Hauler,Windchill Administrator (Site)
,,HCREOQUEUE2,,EXECUTING,53478979.DRW,INSTRUCTION DRAWING;R100E Hoist Cylinder Rod Assembly,01.8,Rigid Hauler,Windchill Administrator (Site)
,,HCREOQUEUE1,,EXECUTING,53477317.DRW,SPRING PIN,01.4,Rigid Hauler,Windchill Administrator (Site)
,,LCATIAQUEUE5,,JOB FAILED,53245019_01.CATPART,PLATE;SUB_ATTACHING LUG WA,01.4,EXC-CHW,Gyusik Min
,,LCATIAQUEUE3,,JOB FAILED,SMST.CATPRODUCT,SMST,01.9,AEnCT-Other,Strådalen Mats
,,LCATIAATB3,,JOB FAILED,53469485.CATPRODUCT,MOCK-UP FILE;Rear fender - Basic width / Full cover / LHS;GP,01.15,WLO-Loader,Pawel Tomczak
,,LCATIAATB1,,JOB FAILED,53479951.CATPRODUCT,BRACKET,01.16,WLO-Loader,Pawel Tomczak
,,LCATIAATB2,,JOB FAILED,53922402.CATPRODUCT,BRACKET,01.8,WLO-Loader,Pawel Tomczak
,,MOFFICEQUEUE1,,JOB FAILED,PVR_01_53478979,Part Version Report,01.2,Rigid Hauler,Windchill Administrator (Site)
